,Session,Question,Question from,Party,Date Dated,Date Answered
909,2017-2018,"Fredag 27. april strandet forhandlingene mellom Norsk Flygerforbund og Babcock Scandinavian AirAmbulance, BSAA, om en avtale om overgang av ambulanseflyvere til BSAA, som overtar ambulanseflyvningen fra 1. juli 2019. Dette resulterte i at alle ambulanseflyene i Norge ble satt på bakken. Mangelen på ambulanseflyberedskap vedvarer, og det er rapportert alvorlige avvik fra ansvarlig medisinsk hold. 
Hva konkret vil statsråden gjøre for å sikre at det vil være 24-timers ambulanseberedskap tilgjengelig i det kommende året?",Cecilie Myrseth,Arbeiderpartiet,2018-05-03,2018-05-09
910,2017-2018,"Luftambulansetjenesten er kritisk infrastruktur og sørger for medisinsk beredskap i hele landet. Nå er tjenesten truet på grunn av uforstandige anbudsprosesser. Liv og helse er satt på spill. Nøkkelpersonell sikres ikke overgang til ny aktør, og slutter. Mangel på piloter setter fly på bakken. Bare flaks har hindret en alvorlig utgang.
Tar statsråden ansvar for situasjonen, hvilke grep vil statsråden sette i verk, og mener statsråden at anbud er en egnet måte å sikre livsnødvendig medisinsk beredskap på?",Kjersti Toppe,Senterpartiet,2018-05-03,2018-05-09
911,2017-2018,"Mitt spørsmål går til kulturministeren. Venstre er nå medansvarlig for kriminalomsorgen, en omsorg som regjeringa har gjort sitt beste for å rasere. Vi ser at vold- og trusselhendelser øker og programvirksomhet legges ned. Ansatte og andre melder om en svært kritikkverdig utvikling. Blant annet har kulturtiltak i fengsel fått svært semre kår. 
Vardeteateret og Røverradioen er eksempler på kulturtiltak i fengsel. Røverradioen har f.eks. fått redusert sin bevilgning fra regjeringa, fra 900 000 kr i 2014 til mer enn halvert. 400 000 kr i budsjettet for 2018 er 60 pst. kutt, til tross for at Røverradioen har fått anerkjennelse for sitt virke – Radio PRIX’ pris har de fått. Det er viktig for ytringsfriheten at Røverradioen får fortsette. De er nå landsdekkende og sender på NRK P2. De er også et grensesprengende tiltak, og det gjorde at de ble hyllet av en internasjonal bransje under Prison Radio Conference i London i England nylig. 
Mitt spørsmål til statsråden er: Hva vil statsråden gjøre for at Røverradioen får fortsette sitt viktige arbeid for ytringsfrihet og de innsatte i fengslene? 
",Kari Henriksen,Arbeiderpartiet,2018-05-02,2018-05-02
912,2017-2018,"Spørsmålet går framleis til samferdselsministeren, så Solvik-Olsen kan fortsetja her. 
Stortinget fekk i utgreiinga frå samferdselsministeren den 10. april i år ei orientering om vesentlege utsetjingar på InterCity-utbygginga, som no ligg inne i Jernbanedirektoratets forslag til handlingsprogram. I juni i fjor, då Stortinget gjorde vedtaket sitt om Nasjonal transportplan for 2018–2029, vart det teke høgd for at full InterCity-utbygging måtte utsetjast frå 2030 til 2034, dette med bakgrunn i faglege vurderingar frå Jernbanedirektoratet. Den 18. februar i år la Bane NOR fram forslaget sitt til handlingsprogram for jernbaneutbygginga, der det vart varsla ei rekkje utsetjingar samanlikna med framdrifta som Stortinget gjekk inn for i NTP-vedtaket sitt i fjor, og ferdigstillinga av heile InterCity-prosjektet er no skuva ut i det blå. 
Sist veke fekk vi gjennom fagtidsskriftet bygg.no informasjon frå ein intern rapport i Bane NOR, der det kjem fram at utbygginga av Follobane-prosjektet, som er eit viktig prosjekt i InterCity, no vert forseinka, bl.a. som følgje av hevinga av kontrakten med entreprenørselskapet Condotte. I februar i år sto samferdselsministeren her i salen og sa at Bane NOR, som har ansvaret for Follobane-prosjektet, ikkje trudde det vart forseinkingar, og understreka alvoret med at forseinkingar kom til å kosta dyrt. 
Det er lite tillitvekkjande at statsråden er så bakpå i desse prosjekta. Vi talar om nokre av dei største samferdselsprosjekta i landet. Det er viktig at desse er under kontroll, økonomisk og framdriftsmessig. Statsråden har fleire gonger prøvd å teikna eit bilete der alt er i skjønnaste orden innan samferdsel, men verkelegheita fortonar seg altså ikkje slik. I spørjetimen den 7. februar i år sa statsråden at utsetjing på Follobanen kan medføra kostnader i 100-millionarkronersklassen. Kan statsråden no garantera at vi ikkje får fleire kostnader og forseinkingar? 
",Ivar Odnes,Senterpartiet,2018-05-02,2018-05-02
913,2017-2018,"Jeg har et spørsmål til samferdselsministeren. 
Nylig ble E16 mellom Bergen og Voss kåret til Norges dårligste veg. Mange ble nok litt overrasket over det, at en europaveg, som til og med er en del av hovedvegen mellom Oslo og Bergen, ble kåret til Norges dårligste veg. Men samferdselsministeren er antakeligvis ikke overrasket. Han bør i alle fall ikke være det, for det er en kjent problemstilling hvor dårlig vegen mellom Bergen og Voss er. 
Opprinnelig var det planlagt oppstart av ny veg i 2021, men den oppstarten ble utsatt av samferdselsministeren. Nå ser det ut til at det går ti nye år før det kan stå ny veg og jernbane ferdig mellom Arna og Stanghelle, og kanskje så mye som 15–20 år før hele strekningen Arna–Voss er ferdig. 
Lokalbefolkningen er redd for å bruke veien. Den er svært trafikkfarlig. Pendlere, næringsliv og transportnæring fortviler. Kommunene i området er etter min oppfatning konstruktive og samarbeidsvillige og sier ja til at det kan brukes statlig plan for å få fortgang i arbeidet. 
Spørsmålet mitt er rett og slett: Hvorfor tar det så lang tid å få bygd ny veg mellom Bergen og Voss? Og hva sier samferdselsministeren til dem som er avhengige av å bruke denne trafikkfarlige vegen hver eneste dag? 
",Sverre Myrli,Arbeiderpartiet,2018-05-02,2018-05-02
914,2017-2018,"Mitt spørsmål går til barne- og likestillingsministeren. 
For noen dager siden snakket jeg med en mor som hadde født et prematurt barn, og det ble anbefalt at barnet burde vente med barnehagestart, ut over ett år. Hun uttrykte veldig glede over at vi har kontantstøtte som en mulighet for dem, noe som gjorde at de som foreldre da kunne være litt lenger hjemme med barnet, slik det også ble anbefalt fra helsevesenet. 
Det er dette det handler om, at foreldre, som kjenner sine barn, kan ha denne valgmuligheten, muligheten til å være litt lenger hjemme. Men hadde hun som jeg snakket med, levd med en som ikke har bodd i Norge i mer enn fem år, hadde ikke den familien hatt denne muligheten. Så urettferdig og så vilkårlig slår dette botidskravet på fem år, som regjeringen, med god støtte fra Arbeiderpartiet, har innført for mennesker som kommer fra utenfor EØS-området, ut. Man har gjennom botidskrav på fem år innført doble standarder som retter seg mot en liten gruppe innvandrere og deres barn, og konsekvensen er altså at en gruppe foreldre der den ene har vært medlem av norsk folketrygd i hele sitt liv, men fant kjærligheten utenfor landets grenser, blir fratatt muligheten til å motta kontantstøtte slik at de kan være litt mer hjemme sammen med barnet sitt. 
Mener virkelig statsråden at dette er en rettferdig ordning? 
",Geir Jørgen Bekkevold,Kristelig Folkeparti,2018-05-02,2018-05-02
915,2017-2018,"Mitt spørsmål går til Ketil Solvik-Olsen. 
Transportsektoren trues av liberalisering og privatisering, særlig når det gjelder jernbanen og godstransporten. Siv Jensen sa noe klokt om dette på sitt landsmøte: 
Vi er imot urettferdig konkurranse, som når utenlandske transportører sender underbetalte sjåfører med elendige biler og tar jobbene fra norske sjåfører. Det skaper ikke bare utfordringer, det ødelegger vår økonomi, det ødelegger vårt arbeidsliv, og det er trafikkfarlig på norske veier. Det, kjære landsmøte, skal vi stoppe, sa hun. 
Det er sjelden jeg er så enig med Siv Jensen. 
Spørsmålet er hva statsråden og regjeringen har tenkt å gjøre med dette. EU-kommisjonen har lagt fram revidering av regelverket for utenlandske transportører, noe som i praksis vil bety et totalt frislepp og forverring av dagens system med hensyn både til konkurransesituasjonen for norske sjåfører, kontrollutfordringer og sikkerhet. Det sier regjeringen og Fremskrittspartiet at de er imot. 
Mitt spørsmål er: Kan statsråden love at Norge bruker reservasjonsretten dersom det endelige regelverket fra EU innebærer en liberalisering av dagens kabotasjeregelverk? Hvilke grep vil regjeringen ta nasjonalt for å stanse sosial dumping på veiene våre? 
",Arne Nævra,Sosialistisk Venstreparti,2018-05-02,2018-05-02
916,2017-2018,"I Dagbladets magasin den 14. april får vi historien om de tre jentene som ble rusavhengige og drev aktiv prostitusjon mens de var under barnevernets omsorg. To av jentene er allerede døde – 17 og 18 år gamle. Historiene er utålelige, men dessverre ikke unike. Gjentatte tilsynssaker avslører at grov systemsvikt skjer i norsk barnevern. Altfor mange barn under barnevernet opplever massive flyttinger, uheldige enetiltak, introduksjon til rus, unødig og gjentatt tvang, manglende helsehjelp og dokumentert uforsvarlighet i tjenesten. De siste årene har det vært flere dødsfall i saker hvor barnevernet har vært involvert. Glassjenta-saken var en vekker. Jenta ble sviktet av både barnevernet, politiet, helsevesenet og tilsynsmyndighetene, og fylkesmennenes gransking viste massive lovbrudd og at barnet ikke hadde fått den hjelpen hun hadde krav på. Det samme gjelder i saken om den 15-årgamle jenta som begikk drap på Sørlandssenteret. 
Sårbare barn under barnevernets omsorg opplever også altfor ofte å bli flyttet langt vekk fra eget nettverk og nærmiljø. Hensynet til kapasitetsutnyttelse i institusjonene blir da oppgitt som viktigere enn barnets beste. Riksrevisjonen har nylig påvist manglende forsvarlighet ved akuttplassering av barn. Det finnes ikke nok offentlige plasser, og det er vanskelig å finne beredskapshjem i tråd med barnets behov. En kartlegging utført av VG viser også at så mange som ett av fire fosterbarn ikke får det lovpålagte antall tilsyn fire ganger i året. Arbeidsmetoden i barnevernet blir også kritisert, som barnevernets bruk av Kvello-modellen og såkalt traumebevisst omsorg. 
Barnevernslovens formål er å sikre at barn og unge som lever under forhold som kan skade deres helse og utvikling, får nødvendig hjelp og omsorg til rett tid og å bidra til at barn og unge får trygge oppvekstvilkår. Altfor mange gutter og jenter opplever ikke det. Ser statsråden alvoret i situasjonen som har oppstått under de blå-blå? Tar hun ansvar for å sikre at alle barn får trygge oppvekstvilkår, også barn under barnevernets omsorg? 
",Åslaug Sem-Jacobsen,Senterpartiet,2018-05-02,2018-05-02
917,2017-2018,"Mitt spørsmål går til likestillingsministeren. 
Norge har mistet plassen sin som et foregangsland i verden når det gjelder likestilling, og arven etter Gro om et likestilt samfunn er forlatt. Vi ser at likestillingsarbeidet forvitrer, og ikke minst har regjeringa fokusert lite på det regionale og lokale likestillingsarbeidet. De regionale likestillingssentrene er verksteder for å utvikle god likestillingspraksis, og de forener forskning og det praktiske hverdagslivet til folk der ute, der de bor, på en god måte. Det skjer gjennom systematisk kompetanseheving, det skjer gjennom undervisning, det skjer gjennom arbeid mot sextrakassering, f.eks., og det skjer gjennom å fokusere på LHBT-populasjonen i de forskjellige regionene. På Sørlandet har vi også studier som dreier seg om minoritetskvinner og lønnsarbeid – som et eksempel på arbeid som de regionale sentrene driver. 
Fra å være et foregangsland og et forbilde både for kvinner i Norge og for kvinner og stater over hele verden har denne regjeringa satt likestillingsarbeidet i revers. Mitt spørsmål til statsråden er: Hvorfor mener statsråden det er viktig å kutte i de regionale likestillingssentrene, slik regjeringa har gjort hvert år, sist med 1 mill. kr? 
",Kari Henriksen,Arbeiderpartiet,2018-05-02,2018-05-02
918,2017-2018,"Ålgårdbanen har et potensial på flere hundre tusen personreiser årlig. Banen er et togprosjekt som vil gi tusenvis av pendlere på Nord-Jæren en lettere hverdag.
Når vil regjeringen ta nødvendige grep for å gjenåpne Ålgårdbanen?",Solfrid Lerbrekk,Sosialistisk Venstreparti,2018-05-02,2018-05-09
919,2017-2018,"Regjeringen har bestemt at nytt regjeringskvartal skal huse mange departement. Det legger uønskede begrensninger på areal til ansattes arbeidsmiljø og oppgaveløsning. Forskning bl.a. fra Arbeidstilsynet viser at det valgte arbeidsplasskonseptet kan gi økt sykefravær og svekket samarbeid og effektivitet. Ansattes innspill er ikke hensyntatt.
Hvorfor overser regjeringen forskning og gambler med dårligere arbeidsmiljø, mindre effektiv statsforvaltning og mer sykefravær og utstøting?",Karin Andersen,Sosialistisk Venstreparti,2018-04-26,2018-05-09
920,2017-2018,"Styret i Helse Sør-Øst har nylig valgt å skrinlegge det som skulle bli et nytt, felles radiologisystem for alle sykehusene. De direkte kostnadene hittil har vært over 220 millioner kroner. I tillegg kommer tidsforbruk hos ansatte som har prøvd å få systemet til å fungere etter hensikten. Det er Sykehuset Innlandet som har vært pilot og som har tatt kostnader ved dette. 
Vil statsråden sørge for at disse utgiftene refunderes Sykehuset Innlandet slik at det ikke går ut over pasienttilbudet?",Rigmor Aasrud,Arbeiderpartiet,2018-04-26,2018-05-09
921,2017-2018,"Utviklingsplanen for Sykehuset Telemark HF 2014-2016 innebar klare forpliktelser til utvikling av et styrket desentralisert spesialisthelsetjenestetilbud. Nå oppleves det motsatte på Rjukan, med reduksjoner i bemanning og at antall driftsdager reduseres. Helseforetaket begrunner dette med pasientgrunnlaget. 
Hva vil statsråden gjøre for å sikre at utviklingsplanen for Sykehuset Telemark HF blir fulgt opp med hensyn til desentraliserte helsetilbud og polikliniske tilbud?",Kjersti Toppe,Senterpartiet,2018-04-26,2018-05-02
